ticker,sector,sector_etf,signal,close,qv_score,fi_score,theme_score,f_score,fund_composite,rs_rating,trend_template,not_extended,breakout,volume_ok,exit_active,exit_reasons,entry_reasons,entry_blockers,fi_flags,pct_above_sma50,high_52w,low_52w
OKE,Energy,XLE,SALIDA,85.5999984741211,12.015503875968992,-20.0,55.55555555555556,0,32.695090439276484,69.12621359223301,True,True,False,False,True,['Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas'],"['Patrón de tendencia alcista (Stage 2)', 'No extendida (-1% sobre SMA50)']","['Fuerza relativa insuficiente (RS 69)', 'Sin breakout reciente sobre resistencia']",['Margen bruto en contracción'],-0.008581696640331487,92.84736633300781,62.68981170654297
DGX,Healthcare,XLV,SALIDA,189.1300048828125,42.82945736434108,-20.0,5.555555555555555,0,32.52067183462532,50.679611650485434,False,True,False,False,True,"['Stop ATR roto: cierre 189.13 < trailing stop 193.98', 'Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas', 'Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas']",['No extendida (-4% sobre SMA50)'],"['Fuerza relativa insuficiente (RS 51)', 'Sin breakout reciente sobre resistencia']",['Margen bruto en contracción'],-0.04319088266024422,210.98968505859375,164.21463012695312
WST,Healthcare,XLV,SALIDA,312.54998779296875,16.08527131782946,40.0,5.555555555555555,0,32.32299741602067,84.07766990291262,False,True,False,False,True,['Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas'],"['No extendida (19% sobre SMA50)', 'Fuerza relativa alta (RS 84/100)']","['Medias móviles no alineadas alcistas', 'Sin breakout reciente sobre resistencia']","['Revisiones de analistas al alza', 'Beat consistente últimos 2 trimestres']",0.19435318867316562,312.54998779296875,204.68499755859375
COF,Financial Services,XLF,SALIDA,193.39999389648438,21.124031007751938,20.0,11.11111111111111,0,32.22739018087855,23.106796116504853,False,True,False,False,True,"['Stop ATR roto: cierre 193.40 < trailing stop 194.76', 'Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas', 'Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas']",['No extendida (2% sobre SMA50)'],"['Precio por debajo de SMA150 o SMA200', 'Medias móviles no alineadas alcistas', 'SMA200 sin pendiente alcista', 'Fuerza relativa insuficiente (RS 23)', 'Sin breakout reciente sobre resistencia']",['Revisiones de analistas al alza'],0.016585984481824235,256.9568176269531,176.10000610351562
CARR,Industrials,XLI,SALIDA,67.9000015258789,20.930232558139537,-20.0,38.88888888888889,0,32.094315245478036,52.42718446601942,False,True,True,False,True,['Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas'],['No extendida (13% sobre SMA50)'],"['Medias móviles no alineadas alcistas', 'SMA200 sin pendiente alcista', 'Fuerza relativa insuficiente (RS 52)', 'Breakout sin confirmación de volumen']",['Margen bruto en contracción'],0.13357957014565758,79.79306030273438,49.96692657470703
DASH,Consumer Cyclical,XLY,SALIDA,167.97000122070312,12.984496124031008,20.0,22.22222222222222,0,31.74935400516796,8.737864077669903,False,True,False,True,True,"['Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas', 'Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas']",['No extendida (0% sobre SMA50)'],"['Precio por debajo de SMA150 o SMA200', 'Medias móviles no alineadas alcistas', 'SMA200 sin pendiente alcista', 'Lejos del máximo de 52 semanas', 'Fuerza relativa insuficiente (RS 9)', 'Sin breakout reciente sobre resistencia']",['Revisiones de analistas al alza'],0.0032809649786297505,281.739990234375,146.60000610351562
CRL,Healthcare,XLV,SALIDA,181.72999572753906,40.89147286821706,-20.0,5.555555555555555,0,31.74547803617571,55.92233009708738,False,True,False,False,True,['Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas'],['No extendida (7% sobre SMA50)'],"['Precio por debajo de SMA150 o SMA200', 'Medias móviles no alineadas alcistas', 'Fuerza relativa insuficiente (RS 56)', 'Sin breakout reciente sobre resistencia']",['Margen bruto en contracción'],0.06668212953379427,226.77000427246094,115.41000366210938
PWR,Industrials,XLI,SALIDA,785.239990234375,11.046511627906977,0.0,38.88888888888889,0,31.640826873385016,95.72815533980582,True,False,True,False,True,['Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas'],"['Patrón de tendencia alcista (Stage 2)', 'Fuerza relativa alta (RS 96/100)', 'Línea de fuerza relativa en máximos']","['Demasiado extendida (32% sobre SMA50)', 'Breakout sin confirmación de volumen']","['Revisiones de analistas al alza', 'Margen bruto en contracción']",0.31890433635743554,785.239990234375,317.3442687988281
STLD,Basic Materials,XLB,SALIDA,241.85000610351562,14.147286821705427,0.0,33.33333333333333,0,31.492248062015502,92.23300970873787,True,True,True,False,True,['Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas'],"['Patrón de tendencia alcista (Stage 2)', 'No extendida (25% sobre SMA50)', 'Fuerza relativa alta (RS 92/100)', 'Línea de fuerza relativa en máximos']",['Breakout sin confirmación de volumen'],[],0.24727425265721356,241.85000610351562,120.19756317138672
GIS,Consumer Defensive,XLP,SALIDA,35.06999969482422,32.55813953488372,-20.0,16.666666666666664,0,31.189922480620154,6.407766990291262,False,True,False,True,True,"['Cierre por debajo de SMA50 (35.07 < 37.48) con volumen 1.5x', 'Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas', 'Fuerza relativa rompiendo: RS-line bajo su SMA50 durante 5 sesiones seguidas']",['No extendida (-6% sobre SMA50)'],"['Precio por debajo de SMA150 o SMA200', 'Medias móviles no alineadas alcistas', 'SMA200 sin pendiente alcista', 'Lejos del máximo de 52 semanas', 'Fuerza relativa insuficiente (RS 6)', 'Sin breakout reciente sobre resistencia']",['Margen bruto en contracción'],-0.06431030921212096,52.17017364501953,34.43000030517578
